FP005890 phf3_1
FP005086 nfya_1
FP000253 igf2bp2b_1
FP009554 capn2l_1
FP010326 zgc:112496_1
FP005738 msxc_1
FP002026 cnnm4_1
FP002329 eef2l2_1
FP001734 braf_1
FP009588 terf2ip_1
FP007726 bcl2l13_2
FP000607 ap2m1a_1
FP009764 arfgef2_1
FP007107 hmgn2_1
FP006778 plekhg6_1
FP004353 zp2l1_1
FP001000 CELF3-3_1
FP010145 thtpa_1
FP000179 tapt1b_1
FP010688 fancf_1
FP008177 vars2_1
FP000011 pros1_1
FP010317 si:dkey-224b4.5_1
FP009323 zgc:174224-2_1
FP010301 cebpd_1
FP005727 ccsapb_1
FP003542 ch211-113a14.19-1_1
FP001898 si:ch211-209j12.3_1
FP001718 sema3aa_1
FP000445 pld6_1
FP005723 galnt2_1
FP009539 si:ch211-226h8.4_1
FP008939 arhgap24_1
FP003426 bmp15_1
FP009493 bsg_1
FP005466 tmem180_1
FP006107 nr3c1_1
FP006319 mlf1_1
FP002486 PPIL3_1
FP002690 si:ch73-71c20.5_1
FP010543 ergic2_1
FP007233 C17H14orf166_1
FP005038 utp3_1
FP005006 rbm39a_1
FP008411 marcksa_1
FP002193 usf1l_1
FP008090 slc39a7_1
FP009387 zgc:123008_1
FP006406 gdpd1_1
FP001212 casc3_1
FP008550 katna1_1
FP001993 lifra_1
FP001445 arpc1a_1
FP009124 slc29a2_1
FP004029 pcbp2_1
FP009638 nadl1.1_1
FP004569 inip_1
FP002433 tmem248_1
FP005555 ppp3r1a_1
FP005179 g6pc3_1
FP002316 rasgef1ba_1
FP001855 cpm_2
FP009465 ttc39c_1
FP001538 DOCK6_1
FP001423 ZNF281-1_1
FP008197 epb41a_1
FP007312 fam98a_1
FP006345 RFFL-1_1
FP000246 alg11_1
FP005081 arl8bb_1
FP009694 acss2_2
FP007906 atpif1a_1
FP003119 polr2l_1
FP005493 socs3b_1
FP000827 puf60a_2
FP004486 slc25a1b_1
FP002035 tbx1-1_1
FP008605 vps18_1
FP002231 gas1b_1
FP009487 gatad2ab_1
FP003611 KRT80_1
FP001299 lrrc4ba_1
FP006806 hibadhb_1
FP003252 calca_1
FP001013 tpm4b_1
FP007874 prrg4_1
FP004918 tbl1xr1a_1
FP004567 hsdl2_1
FP001767 plxnb2a_1
FP009701 prkcbp1l_2
FP008238 MRPL53-2_1
FP005112 trim62_1
FP002365 ccnh_1
FP008103 hoxa3a_2
FP010453 map1lc3b_1
FP001668 ccnc_1
FP007273 galcb_1
FP001623 kcnc2_2
FP003977 nfu1_1
FP000650 hccsa_1
FP010548 znf277_1
FP003579 mrpl40_1
FP008054 grhl2b_1
FP000516 parn_1
FP002665 gpr155b_1
FP000091 fgb_1
FP008662 mycn_1
FP004818 mef2ca_2
FP008477 prdx6_1
FP002683 nr4a2b_1
FP007186 akap6_1
FP007978 atp1a3a_1
FP000494 ndufb7_1
FP004278 col8a1a_1
FP003251 cyp2r1_1
FP003620 mecp2_1
FP009474 RABGAP1L_1
FP007348 arhgef10_1
FP001192 slc35b1_1
FP000627 rpap2_1
FP005111 znf362a_1
FP008873 si:ch211-241b2.1_1
FP002720 gbx2_1
FP005187 eif3c_1
FP009754 chia.4_1
FP004292 acp6_1
FP000189 pds5a_1
FP006507 hif1al_1
FP008950 cast_5
FP001418 gpatch8_1
FP001393 csnk1da_1
FP003294 tjp1a_2
FP006573 HDAC11-2_1
FP008453 glrx5_1
FP007403 yy1a_1
FP004344 cdc16_1
FP010272 rnpc3_1
FP006179 slc25a5_1
FP006054 si:dkey-102m7.1_1
FP001856 cpm_1
FP004207 arl5a_1
FP002450 polr2j_1
FP008990 si:dkey-11o15.10_1
FP002018 si:dkey-98f17.5_1
FP003626 srpk3_1
FP002076 camk2b1_1
FP008497 tnfaip2a_1
FP006183 cdx4_1
FP005250 pyyb_1
FP002073 SLC6A20_1
FP006450 aldh3a2a_2
FP007223 fam177a1_1
FP003535 zgc:112234-1_1
FP009667 taz_1
FP007413 HAUS2_1
FP010630 narg2_1
FP000060 cnppd1_1
FP010249 phex_2
FP010650 si:dkey-108k21.12_1
FP004879 zgc:110377_1
FP005093 C11H9orf89_1
FP009536 csrp2bp_1
FP001211 ppp1r9b_1
FP001534 mpg_1
FP005639 si:dkey-20i10.7_1
FP006980 zdhhc18a_1
FP010128 fen1_1
FP003043 aamp_1
FP008642 pdip5_1
FP006626 NUMA1-2_1
FP002177 vps37b_1
FP003236 eif4a1a_1
FP010694 cpne8_1
FP006752 zgc:174888_1
FP005020 trpc4apa_1
FP006733 si:ch211-69g19.2_1
FP003334 brd7_1
FP003368 ube3c_1
FP007146 spint1a_1
FP007508 exoc5_1
FP003490 lypla1_1
FP001225 copz2_1
FP002864 slc9a7_1
FP007384 hectd1_1
FP006115 slit3_1
FP005382 pigf_1
FP004512 ubxn8_1
FP007489 npc2_1
FP008077 ptprua_1
FP006592 agfg1a_2
FP009346 zgc:112958_1
FP000361 si:ch211-239f4.6_1
FP003639 tbc1d22b_1
FP007113 pdcl_1
FP003315 gro1_1
FP007247 bach2a_2
FP004531 skiv2l2_1
FP002667 atp5g3b_1
FP007199 tbpl2_1
FP002697 eef1b2_1
FP002648 acp5a_1
FP010444 zgc:110339_1
FP007330 aftphb_1
FP000407 pdcd11_1
FP001442 fscn1a_1
FP009183 sgcd_1
FP008840 rps29_1
FP005518 trim16_1
FP004947 arrdc2_1
FP004571 srek1ip1_1
FP000960 pax3a_1
FP004683 si:dkey-33o22.1_1
FP001736 CNOT4-2_1
FP003027 tfap2c_1
FP008347 GRINA_1
FP003839 kdm5bb_1
FP007956 fbxl20_1
FP007208 hnrnpua_1
FP002401 lhx1b_1
FP002191 ddx31_1
FP006282 tcerg1a_1
FP010360 pigm_1
FP001784 atp2b1a_1
FP003861 gucd1_1
FP007166 DUSP23-2_1
FP004893 dda1_1
FP010375 NEO1-2_1
FP009538 si:dkeyp-20e4.8_1
FP001291 slc25a39_1
FP000346 zdhhc5a_1
FP005008 C11H1orf106-1_1
FP007966 krt1-19d_1
FP007442 id2a_1
FP007101 pbx2_1
FP006363 BACH1-2_1
FP009444 mfng_1
FP002373 col4a3bpa_1
FP009432 rqcd1_1
FP004568 si:ch211-126i22.5_1
