"Species","Lifespan","Mean lifespan
(±SD)","Median lifespan","Source","Original source","Original source text","Class","Number of species represented in class","Order","Number of species represented in order","Family","Number of species represented in family","Genus","Number of species represented in genus","Number of reported lifespans for species"
"Acipenser gueldenstaedtii",46,"46 ± 0",46,"FishBase","FishBase ref no.: 3561","Chugunova, N.I. , 1959 Age and growth studies in fish. A systematic guide for ichthyologists. Israel Program for Scientific Translations. Izdatel'stvo Akademii Nauk SSSR, Moskva. 132 p.","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,2
"Acipenser gueldenstaedtii",46,"46 ± 0",46,"AnAge","AnAge ref no.: 454","Froese and Pauly FishBase","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,2
"Acipenser ruthenus",20,"36.12 ± 19.54",36,"FishBase","FishBase ref no.: 556","Muus, B.J. and P. Dahlström , 1968 Süßwasserfische. BLV Verlagsgesellschaft, München. 224 p.","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
"Acipenser ruthenus",69.6699981689453,"36.12 ± 19.54",36,"FishBase","FishBase ref no.: 273","Nigrelli, R.F. , 1959 Longevity of fishes in captivity, with special reference to those kept in the New York Aquarium. p. 212-230. In G.E.W. Wolstehnolmen and M. O'Connor (eds.) Ciba Foundation Colloquium on Ageing: the life span of animals. Vol. 5., Churchill, London.","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
"Acipenser ruthenus",36,"36.12 ± 19.54",36,"FishBase","FishBase ref no.: 56502","Podlesnyi, A.V. , 1958 Fishes of Enisey, their environments and use. P. 97-178 in Pravdin, I.F. and P.L. Pirozhnikov (Eds.). Commercial fishes of Ob and Enisey and their use. Izv. VNIORH 44. Moscow, Pishchepromizdat.","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
"Acipenser ruthenus",46.1,"36.12 ± 19.54",36,"AnAge","AnAge ref no.: 1","Carey and Judge (2000) Longevity Records: Life Spans of Mammals, Birds, Amphibians, Reptiles, and Fish","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
"Acipenser ruthenus",15,"36.12 ± 19.54",36,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
"Acipenser ruthenus",20,"36.12 ± 19.54",36,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
"Acipenser ruthenus",46.1,"36.12 ± 19.54",36,"Max Plank Institute for Demographic Research","MPIDR ref no.: [71]","Flower, M.S.S., 1935. Further notes on the duration of life in animals. - I. Fishes: as determined by otolith and scale - readings and direct observations on living animals. Proceedings of the Zoological Society of London 1935: 265.","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
"Acipenser transmontanus",104,"86.29 ± 26.94",100,"FishBase","FishBase ref no.: 39377","Rien, T.A. and R.C. Beamesderfer , 1994 Accuracy and precision of white sturgeon age estimates from pectoral fin rays. Trans. Am. Fish. Soc. 123(2):255-265.","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
"Acipenser transmontanus",30,"86.29 ± 26.94",100,"FishBase","FishBase ref no.: 796","Beverton, R.J.H. and S.J. Holt , 1959 A review of the lifespans and mortality rates of fish in nature, and their relation to growth and other physiological characteristics. p. 142-180. In G.E.W. Wolstenholme and M. O'Connor (eds.) CIBA Foundation colloquia on ageing: the lifespan of animals. volume 5. J & A Churchill Ltd, London.","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
"Acipenser transmontanus",104,"86.29 ± 26.94",100,"FishBase","FishBase ref no.: 39247","Cailliet, G.M., A.H. Andrews, E.J. Burton, D.L. Watters, D.E. Kline and L.A. Ferry-Graham , 2001 Age determination and validation studies of marine fishes: do deep-dwellers live longer?. Exp. Geront. 36:739-764.","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
"Acipenser transmontanus",104,"86.29 ± 26.94",100,"AnAge","AnAge ref no.: 22","Cailliet et al. (2001) Age determination and validation studies of marine fishes: do deep- dwellers live longer?","Actinopteri",425,"Acipenseriformes",4,"Acipenseridae",3,"Acipenser",3,7
