"assembly_accession","taxid","organism_name","assembly_level","release_type","genome_rep","seq_rel_date","asm_name","submitter","gbrs_paired_asm","paired_asm_comp","ftp_path","excluded_from_refseq","relation_to_type_material","asm_not_live_date","superkingdom","phylum","class","order","family","genus","assembly_id","b_complete","b_complete_and_single_copy","b_complete_and_duplicated","b_fragmented","b_missing","b_total_groups_searched","genome_size","global_cg_oe","global_cg_dens","dist_from_zeb_lca","mean_lifespan","mae_lifespan","mre_lifespan","sd_lifespan","max_lifespan","n_reported_values"
"GCA_000002035.4",7955,"Danio rerio","Chromosome","Major","Full","2017/05/09","GRCz11","Genome Reference Consortium","GCF_000002035.6","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.4_GRCz11","",NA,"na","Eukaryota","Chordata","Actinopteri","Cypriniformes","Danionidae","Danio","GCA_000002035.4_GRCz11",95.2,78,17.2,1.1,3.7,3640,1679186873,0.531468638496937,0.0176967230257761,0,5.46666669845581,0.53333330154419,9.75609692273434,0.804155840496134,7,6
"GCA_000150875.1",57307,"Labeotropheus fuelleborni","Scaffold","Major","Full","2008/07/09","ASM15087v1","Cichlid Genome Consortium","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/875/GCA_000150875.1_ASM15087v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Labeotropheus","GCA_000150875.1_ASM15087v1",0.4,0.4,0,0.4,99.2,3640,70858381,0.509830496298026,0.0216046144209815,460.8,10,2,20,2.82842712474619,12,2
"GCA_000150895.1",27751,"Melanochromis auratus","Scaffold","Major","Full","2008/07/09","ASM15089v1","Cichlid Genome Consortium","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/895/GCA_000150895.1_ASM15089v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Melanochromis","GCA_000150895.1_ASM15089v1",0.4,0.4,0,0.2,99.4,3640,68238634,0.482835105722947,0.0197025778681326,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_000225785.1",7897,"Latimeria chalumnae","Scaffold","Major","Full","2011/09/12","LatCha1","Broad Institute","GCF_000225785.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/785/GCA_000225785.1_LatCha1","",NA,"na","Eukaryota","Chordata","Sarcopterygii","Coelacanthiformes","Coelacanthidae","Latimeria","GCA_000225785.1_LatCha1",71.5,69.3,2.2,3.4,25.1,3640,2860575514,0.358662638212156,0.0088473990202798,861.35,48,0,0,0,48,2
"GCA_000238235.1",7782,"Leucoraja erinacea","Contig","Major","Full","2011/12/15","LER_WGS_1","North East Cyberinfrastructure Consortium","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/235/GCA_000238235.1_LER_WGS_1","",NA,"na","Eukaryota","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","GCA_000238235.1_LER_WGS_1",4,3.8,0.2,1.9,94.1,3640,1555461038,0.439482155633906,0.0199347866918413,NA,10,2,20,2.3094010767585,12,4
"GCA_000239375.1",303518,"Pundamilia nyererei","Scaffold","Major","Full","2011/12/22","PunNye1.0","Broad Institute","GCF_000239375.1","identical","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/375/GCA_000239375.1_PunNye1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Pundamilia","GCA_000239375.1_PunNye1.0",94.9,93.9,1,1.1,4,3640,830133247,0.488445203101212,0.0142640389874663,460.8,4,1,25,1.4142135623731,5,2
"GCA_000239395.1",32507,"Neolamprologus brichardi","Scaffold","Major","Full","2011/12/22","NeoBri1.0","Broad Institute","GCF_000239395.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/239/395/GCA_000239395.1_NeoBri1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Neolamprologus","GCA_000239395.1_NeoBri1.0",91.4,90.2,1.2,2.1,6.5,3640,847893845,0.511357184328435,0.0136832423874949,460.8,3,2,66.6666666666667,2.82842712474619,5,2
"GCA_000242695.1",7918,"Lepisosteus oculatus","Chromosome","Major","Full","2012/01/13","LepOcu1","Broad Institute","GCF_000242695.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/695/GCA_000242695.1_LepOcu1","",NA,"na","Eukaryota","Chordata","Actinopteri","Semionotiformes","Lepisosteidae","Lepisosteus","GCA_000242695.1_LepOcu1",89.8,88.9,0.9,2.5,7.7,3640,945861706,0.407168478793801,0.0134786289783467,643.1716,16,3,18.75,4,18,4
"GCA_000475235.3",72089,"Sebastes nigrocinctus","Scaffold","Major","Full","2016/12/20","ASM47523v3","USC","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/475/235/GCA_000475235.3_ASM47523v3","",NA,"na","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","GCA_000475235.3_ASM47523v3",78.7,77.7,1,6.2,15.1,3640,746044620,0.583115853385586,0.0188964756558395,460.8,116,0,0,0,116,4
"GCA_000485575.1",48698,"Poecilia formosa","Scaffold","Major","Full","2013/10/28","Poecilia_formosa-5.1.2","Aquatic Genome Models","GCF_000485575.1","identical","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/485/575/GCA_000485575.1_Poecilia_formosa-5.1.2","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Poecilia","GCA_000485575.1_Poecilia_formosa-5.1.2",96.3,91.8,4.5,0.8,2.9,3640,748923461,0.49694841967432,0.0173280203863182,460.8,2.65,0.65,24.5283018867925,0.919238815542512,3.3,2
"GCA_000499045.2",229290,"Anoplopoma fimbria","Scaffold","Major","Full","2020/10/05","NWFSC_Afim_r7.pbjelly","NOAA, National Marine Fisheries Service, Northwest Fisheries Science Center","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/045/GCA_000499045.2_NWFSC_Afim_r7.pbjelly","",NA,"na","Eukaryota","Chordata","Actinopteri","Perciformes","Anoplopomatidae","Anoplopoma","GCA_000499045.2_NWFSC_Afim_r7.pbjelly",91.6,85.1,6.5,3.3,5.1,3640,784187114,0.478571486981919,0.0166657048639032,460.8,91.75,13.375,14.5776566757493,20.1721755561136,114,4
